original,augmented_1,augmented_2,augmented_3,augmented_4
"nice place stay good hotel subway station walking distance, people reception friendly gave good advices, breakfast simply excellent little expensive, rooms quite small clean, balcony bigger room nice view, reccomend,  ","good stay but kind of small, cleaning staff was poor and tv was on small channel very small room, in case we would choose","nice places to stay the cleanst place, good granite of food, good location, the rooms are pretty good with different color and furnishings,the breakfast is very fantastic.all the stuff is extremely useful and isnt difficult to get hold of;we book through booking.com","nice place stay for short and pleasant but high prices for some things like breakfasts with buffet or other that are included, rooms clean, breakfast really good. Staff is friendly and they tell you about attractions downtown.","nice place to stay long stay good hotel,subway station walking distance, staff reception friendly gave all recommendations with different size room for different price, breakfast superbly, rooms small clean, balconies pretty"
"great 3 star location unbeatable, corporate hotel.it bit run no way considered 4 star claim, arrival room definitely not-yet-serviced asked room, no probs aside, recommend looking located 3 star,  ","3 star bathroom spacious but no facilities (no TV, shower...? and as for the food, do you have water...) although a decent 3rd of a star for a hotel in the suburbs.","location and staff could improve, but in the same level and price of 3 star hotels.",3 stars hotel great price. its new corporate hotel. they manage and provide a comfortable stay.it is in the center of the city.and in the central point.,"Excellent, comfortable & quiet. Conspicuously run, one complaint was the room I was looking at seemed to be drab all the carpeting had dark tan paint etc"
"great time stayed makaha resort september loved, mother went highschool reunion staff did great job dealing w/, no not bad great, layout beautiful, definatly stay,  ",great time we had during our vacation got to see my mom,time ive ever had in a state resort so very good customer service with excellent standards all you could possibly ever want in a vacation resort has made uluha paradise makaha hotel an ideal retreat every time and once you must get the best,"loved, stayed resort september and loving it","what i liked there best, in town on a fr trip it made my mothers summer, its close when i'm stuck home visiting uncle robert with two girls from china"
"classy accommodation really nice hotel fabulous location, 4 blocks opera house area easy walking distance major attractions, nice attention, comfortable beds, fabulous soaker tub, internet plug 30/day 50/week, buffet breakfast disappointing,  ","fantastic price, great location, easy to express yourself by transport network nearby, very friendly staff and good facilities.","classy accommodation really nice hotel fabulous location 3 blocks opera house area easy walking distance major attractions, nice attention, comfortable beds, fabulous soaker tub, internet plug 30/day 50/week, buffet breakfast disappointing",classy accommodation really nice hotel luxurious location convenient to opera house easy walking distance major attractions free Wi-Fi,"a simple budget stay in the opera block where you can get very close to opera or the city, perfect setting , very friendly staff , beautiful spa tub , bath and sauna"
"best trip stayed ikikai june 15th 25th, wonderful, true elevators slow not problem, room roomy clean.there no resturaunts open plenty nearby, recomend hotel,  ",last date before new YEARs in seoul.this is where we had the longest train journey.you're looking into room temperature,"best trip , good value for money that gives your health and well being",great hotel !!,"the view outside, it's a much better view, it was easy for taxis and taxi stop very clean.the rooms were big, and our guest always threw down small pillows....this hotel is good.....it is one of the largest i have been"
"copley house not good experience, avoid place like frat house, doors slam people crash stairs night, bathroom falling apart, just wanted,  ",copley house will be a new for a frat. You would no doubt call them an embarrasing group and are completely lost without them just you and what do they want from you on weekends and summer holidays,"good experience, stay at club, get ready to crash stairs because door slams, big group in night,","hey guys don't feel bad the last time we were down by the copley, especially when it ended up being an okay experience? it made for decent people to watch the game from then till its reopening anyway and one has to stand just to get to be ready as we left after","the only place that got me hurt was sitting outside in the middle of the living room getting plaster on door rail, watching people just to get in and the doors smash the passengers going in and making a mess of the small hallway I can smell soggy grease sticking from places right inside the floor,"
"best, love hotel, stayed trips amsterdam, not convenient charming, make sure ask room 24 wonderful,  ","best amsterdam getaways, loving the hotel but some amenities like not avaliable and annoying. stay at the 18thfloor for this one",always have a great room 24 or 2!,"best, loved hotel, stayed trips amsterdam, not convenient beautiful, make sure ask room 24 wonderful, marvelous hotel,","stayed the best, rooms room 26, helpful helpful room at 24 bar charming and warm, not enough staff great places"
"nice hotel staff taste stayed days, convenient downtown, darkest lobbies seen, dark wood, no lighting.the rooms huge dated, small tv 40 feet bed pet peeve staff nice helpful, id stay fell short certain ways,  ","Nice hotel staff had enjoyed staying days, convenient city, darkest lobbies seen, dark wood dated rooms pet peeve staff nice helpful and pleasant, id stay fell short in certain ways","hotels, guestrooms.the staff was courteous but very disliking it had to go on and on about such things as pets being kept around the bed","nice hotel staff taste stayed days, convenient downtown, darkest lobbies seen, dark wood, no lighting.the rooms huge dated, small tv 40 feet bed pet peeve staff nice helpful, id stay fell short certain ways,","nice hotel staff taste stayed days, convenient downtown, darkest lobbies seen, dark wood, non-lighting, tiny rooms... The rooms were small and the room was dirty! (especially with the very old TV"
"bad bad bad hotel verry bad pls not stay, close ramblas things service customer extremeley poor, terrible cant recommend,  ",Bad terrible bad bad the worst we have ever stayed in I hate this kind of business!,"bad or no friendly service in hotels ! have you ever been in a hotel that is horrible !!!! the staff is rude, almost as bad as some of the people","nice hotel, excellent service quality, restaurant very nice people :), nice and new hotel..and very easy to get anywhere in all the hotels across the area","very badly run hotel and as an older person it means, I won't be staying there again but since it's only opened 3 month ago I could really recommend it"
"thank goodness husband slept, corridors smelled absolutely no towels room mold lamp shades holes linen dust furniture.. insisted room just bad, went far pay double marriott booked, just happy did not bring children, place need renovation,  ","thank goodness we slept, hallways smelled so terrible we couldn't find our husband towels in the hotel","they all said this, smelled completely stinky, b/c there are no bed bugs","thank goodness husband slept, corridors smelled absolutely no towels room mold lamp shades holes linen dust furniture.. insisted room just bad, did much pay double marriott booked, just happy did not bring children, place need renovation,","thank goodness husband slept, corridors smelled absolutely no towels room mold lamp shades holes linen dust furniture.. insisted room just bad, went far pay double marriott booked, just happy did not bring children, place need renovation"
