Review,Rating
"not good motel disappointment, desk clerk not friendly helpful room load smelled kind moldy, on-line photo looked promising inside sub par,  ",1
"drab dreary smelled mildew rooms drab dreary constantly smelled mildew, location ok central district better place stay, definetly not stay nor recommend staying, money experience better,  ",1
"stay away briefly hotel big prolem manager, refused accept cancellation charged night cancelled way deadline charge, unreasonable unehtical unreliable, not customer-friendly,  ",1
"horrible experience not stay, car broken lot stolen, bad neighborhood hotel bell hop care, check wait 2.5 hours outside car police come company come fix window, stay dallas, police man said not stay dallas having lot crime stay outside city,  ",1
"generally run near train station desirable area, room bathroom size adequate need updating, staff accomodating hard working, street noisy night, n't stay,  ",1
"looked like run motel not hotel ac didnt work room pic saw nothing like real room, roaches not hot water cold view wall, expensive crap, not not stay u care ur health dirty n service terrible, check eairly real bad, not stay,  ",1
"stay away place- restaurants did n't stay hotel- thank god- lobby smells horrible, did eat dinner restaurant there- portobello, huge disappointment, service fair food nothing special food did not come ordered, n't waste money overpriced dump,  ",1
"not return disappointed stay, felt good internet rate received provided substandard room, think good internet rate introductory rate not reflection type location cleanliness room, wont details left comments desk email return,  ",1
"wish checked tripadvisor wish checked allowing travel agent book dive, location good good thing hotel door it.our room downstairs basement level dark dingy dirty, contest worst hotel stayed, did not feel safe not recommend stay,  ",1
"awful experience stayed night husa oriente barcelona lucky spend night, reception clerks completely uninterested job tiny dirty old room fan view brick wall 3 metres away window, good thing hotel central location, come establishment,  ",1
"not worth budget stayed hotel 4 boys week summer, parking aweful, n't mind keeping shoes time hotel, dirty bad town,  ",1
"thank goodness husband slept, corridors smelled absolutely no towels room mold lamp shades holes linen dust furniture.. insisted room just bad, went far pay double marriott booked, just happy did not bring children, place need renovation,  ",1
"love old decor expensive price, stay upscale luxury hotel price, marriott ihilani halekulani highest award aaa kahala hotel resorts idea true luxury hotel unless pink favorite color,  ",1
"does not deserve rated booked hotel hotwire hotel staff charged cc time, calling times speaking manager accountant refuse money, saying bank account second- bunch bs,  ",1
"ritz canal street terrible location equally horrible hotel rooms dirty service terrible best trip left flew home,  ",1
"overrated overpriced disaster staff hotel rude obnoxious, food expensive awful, room placed damp moldy comforter bed large yellow stains, best choice island high scale hotel westin,  ",1
"need improvement stayed 3 nights x'mas, basic small hotel, lighting not bright room, heater not warm woke mid night, complement location just steps away plaza mayor 5 minutes walking sol metro station main street,  ",1
"over-booked arrived no room available received pre-paid booking not moved hotel nh chain, appear operate policy over-booking people popular hotels arrive city,  ",1
"absolutely horrid hotel absolutely horrible, second thought n't hotel-after days hotel came boils skin bug bites got barber told got lice, back..even paid let paying, joke place,  ",1
"look shabby large hotel absolutely no room service breakfast, old tv refrigerator did n't work, nice pretty good location near international marketplace waikiki beach meeting point tours meet, macy look unless really good price,  ",1
"stay, absolutely nothing make think staying dump lost money stay fleapit, rooms filthy decor unbelievable management insist keeping payment stay endanger health, hotel recently refurbished n't room recently redecorated mind refurbished,  ",1
"worst, worst hotel experiences life, moment wife walked knew trouble, carpet filthy odor lobby, switched room odor room got gum stains carpet not mention stains bed spread.simply horrible,  ",1
"avoid dump, carpets ripped doors kicked poorly repaired disgustingly dirty smelly carpets yeah right microwave bookshelf, not stay out-dated brochure shows pics world not dump,  ",1
"hate sterling hotel dallas pictures website deceiving, hotel dirty beds old cave middle, cater truck drivers, personnel rude, stay hotel, cost way average, total score,  ",1
"rip-off banys surly staff smelly room noisy conned exchange rate n't respond requests explanation, n't,  ",1
"phony fee visited seattle week, stayed days inn nights, according homepage days inn-downtown seattle offers parking fee 5.00 night charged 10.00 night total 20.00, certainly dispute charges,  ",1
"bad bad lie, n't believe photo hotel web site, place star, mislead lied, interval sould ashamed offering place,  ",1
"worst hotel san juan stayed mid-december threw large party atrium kept night, n't believe turn hotel raging disco lasted night long, n't believe consider hotel, awful place,  ",1
"rating suspect, hotel sofitel june 6-7 power water went 24 hours did nothing help 11 oz, bottle water, building effected, did reviews say past, say, letter sofitel admitting problem proof needed glad furnish, saw june 7 th post saying great gives,  ",1
"bad service deeply disappointed service, promised specifichotel room arrived said did not types rooms hotel, confirmation sent marriot stated given room promised, no attempts madeby hotel fix situatuion,  ",1
"terrible hotel terrible hotel, bad service outdated room mediocre food way overpriced, outdoor hot tub cold water, stay,  ",1
"terrible quality price understood hot market singapore hotel moment price hotel stay high quality, room cleaness room size staff hospitality consider just trasnsit place singapore meaning, definitely level place accomodation budget s 168 night,  ",1
"missed place changed policy cancel booking argonaut changed policy non-smoking property 1st did n't inform, trying charge cancellation fee, likefor people considering argonaut know non smoking reservations guy impossible deal,  ",1
"really unimpressed terrible understatement room small accompanied unidentified masson mirror walls, cleanliness low rated bathroom tardy, staff friendly not use,  ",1
"room dirty.. hotel room pretty dirty lock not function.. toilet dirty bedsheet yellowish.. stay corner room curtain provide white goodness sleep 5 o'clock sun wake up.. house keeping not changing complaint.. bad experience,  ",1
"rudest people dont stay, despite fact cool hotel place sucks, desk nights run rudest people met, not problem room extremely rude not hear issue, dissapointed,  ",1
"stay, rooms small, bathroom bigger not good location families, no room amenities glasses ice bucket towels, parking not hotel 30.00 24 hour period, staff snotty not helpful, not stay not recommend hotel,  ",1
"avoid, avoid hotel, rooms small noisy limited technology does not work properly, hotel staff rude unhelpful, try manor house paddington better costs bit similar location,  ",1
"n't book hotel n't stay service pits, arrived lock broken took days fix, not room claimed booked, booked apple vacations no help,  ",1
"stay away, worst resort, stayed 11 days 11 days long, 8, got food poisoning staff rude, resort dirty food bad peope unaccomadating service none, stay, spend money sick treated like poop,  ",1
"place place, trust place, loud no frills, place aimed losers diem n't smart shop, buy internet local provider fraction hotel charges, sources snacks sodas water mini-bar street 7/11 closes, place,  ",1
"missing hotel not worth visiting room service not provided day towels not left room phones did not work hotel tried overcharge include extra fees including electricity fee 5 day,  ",1
"not grand renovation years ago property no longer human feel, high prices comparison near high class hotels, staff care famous people, watch restaurants,  ",1
"stay advantage fact hotel 5 mins bus journey airport.we missed ongoing flight night klm.free buffet dog stuck nose room small basic.luckily 8 hours, n't near unless,  ",1
"hotel la scaletta place worst, carried bags 100 steps told carry street, bed hour came kicked said booked, good thing better hotel just street,  ",1
"terrible hotel 1 2 stars, avoid hotel, not clean rooms old, time walk floor squeekes terribly, surrounding area not safe weird breakfast limited definetly not 3 star, not recommend hotel believe,  ",1
"sick enjoy apparently food posioning bug going resort, people sick, spent time room.the beach beautiful discovery excursion amazing staff unaccomodating, disappointing experience,  ",1
"smallest hotel room seen, tranferred h10 hotel booked did not mind saw room, seen hotel room small double bed pushed wall dark dismal horrible, rest hotel nice, hardly wanted return room,  ",1
"terrible customer service second stay resort, realized offered aaa discount, inquiring desk said late change rate, 1/2 way 4 week stay, asked talk managment recieved bad sad response, not reccomend hotel,  ",1
"place lousy place absolutely lousy, room awful staff works hard unfriendly guests staff kept waiting outside half hour late night letting, avoid place costs, n't let ruin amsterdam stay,  ",1
"frontdesk extremely bad service check-in one-bedroom sept. stay 3 months, people desk horrible, not answer calls guest room request items received, requested bowl 7 days reminding morning evening bowl turn up.the desk said, conclusion dont trust,  ",1
"remove zero, spent lot time nice boutique hotels zero worst hotel to.from minute checked snippy kid fornt desk fifty-five minute wait room service terrible,  ",1
"terrible, husband stayed frenchmen january, worst hotel stayed, floors dirty, furniture old ugly, roaches bathroom, left hotel left pillow, called hotel asked send, agreed sent pillow calling times talking manager agreed send, stay,  ",1
"bad experience hi just want know hotel reservation no trace email, make mistake credit card request pay room paid, laggage mixed ground floor futur room.i justified thing echange mail receive mistake credit card.can care mention web site.thank,  ",1
"disgusting customer service owner/manager rude service provided disgusting, website bears no resemblance actual hotel, 2 dogs run free lobby fight continuously.we moved moved morgan boutique street away,  ",1
"rude desk manager place ridiculous, 89.99 hotel smells old dirt customer service rude, hotel not airport reported given room bedbugs room, complained lady did best desk asked speak management rude told nothing change room, nice job bites,  ",1
"horrifying, stayed hotel october 2004 not filthy terrible frightening location loud towels stained threadbare place looked like crackhouse, elevators disgusting stairs worse graffiti-bathed walls dirty dirty dirty,  ",1
"wrote header, brief.disgusting food roaches room nobody speak english 1 half person lobby, huge crowded,  ",1
"dredful stayed jan 2006. bathroom floor shower dirty black mould, tiles missing walls mould.small room not space unpack.carpet room old.overall room not clean.i stay,  ",1
"bad spa 7 days spent huge family 30+guests things stolen rooms jewelry, upseting, nail hair salon small bad service cheap nail polish wax, techniques bad,  ",1
"poor customer service poor customer service not respond follow emails reserved parking space given away, parking nightmare, stayed negligence giving parking space away cancelled reservation error charged night stay,  ",1
"stay plenty nice hotels seattle, not, terrible stay bellman lost luggage phones did n't work dirty sheets letter manager answered acknowledged, better staying,  ",1
"stay away shocking outrageous service check wait 10 hours nerve change booking rate high 170 travelling distance arrive singapore stay away hotel misery,  ",1
