Review,Rating
"bad bad lie, n't believe photo hotel web site, place star, mislead lied, interval sould ashamed offering place,  ",0
"copley house not good experience, avoid place like frat house, doors slam people crash stairs night, bathroom falling apart, just wanted,  ",0
"just got 4 day stay definitely not recommned place, room dirty paint peeling tiles missing moldy bathroom, stand chair adjust rattling air conditioner, breakfast so-so rolls weak coffee, pictures web site brochure nothing like place, n't stay,  ",0
"stay away, worst resort, stayed 11 days 11 days long, 8, got food poisoning staff rude, resort dirty food bad peope unaccomadating service none, stay, spend money sick treated like poop,  ",0
"not 3 star maybe 1 star say location wise good hotel wise terrible, plus free water beer breakfast negative run rooms terrible plastic furniture bed rock solid rooms smell rooms hallways awful.would not recommend,  ",0
"rip-off banys surly staff smelly room noisy conned exchange rate n't respond requests explanation, n't,  ",0
"phony fee visited seattle week, stayed days inn nights, according homepage days inn-downtown seattle offers parking fee 5.00 night charged 10.00 night total 20.00, certainly dispute charges,  ",0
"horrible experience not stay, car broken lot stolen, bad neighborhood hotel bell hop care, check wait 2.5 hours outside car police come company come fix window, stay dallas, police man said not stay dallas having lot crime stay outside city,  ",0
"appalling worst hotel stayed, not recommend dog.the major problem staff reception breakfast room, good course customer service not astray rude unhelpful, amsterdam 3 times year come away impression like,  ",0
"stay away shocking outrageous service check wait 10 hours nerve change booking rate high 170 travelling distance arrive singapore stay away hotel misery,  ",0
"hated inn terrible, room-service horrible staff un-welcoming, decor recently updated lacks complete look, managment staff horrible,  ",0
"place place, trust place, loud no frills, place aimed losers diem n't smart shop, buy internet local provider fraction hotel charges, sources snacks sodas water mini-bar street 7/11 closes, place,  ",0
"over-booked arrived no room available received pre-paid booking not moved hotel nh chain, appear operate policy over-booking people popular hotels arrive city,  ",0
"disgusting customer service owner/manager rude service provided disgusting, website bears no resemblance actual hotel, 2 dogs run free lobby fight continuously.we moved moved morgan boutique street away,  ",0
"willow stayed nights beginning month planned stay week decor 70, swimming pool size large bath food restaurant start way priced discusting, stay, no, reccommend hotel, no,  ",0
"dump glorified 6 motel complete popcorn ceiling views people rooms old dirty outdated decor cares suites bad, did n't great views restaurant atop hill no better roadside dumper, travelodge crowd obviously does love,  ",0
"horrible stay bad staff rooms horrible staff unwiling assist, hotel did not booking despite confirmed e-mail, manager wanted book 2 star hotel refusing got think worst room place.breakfast no choice.would stay hotel,  ",0
"avoid dump, carpets ripped doors kicked poorly repaired disgustingly dirty smelly carpets yeah right microwave bookshelf, not stay out-dated brochure shows pics world not dump,  ",0
"warning not stay worst hotel booked did not room booked said 4 months earlier, got hotel did not let till 500 check 300. toliet spraying mattress 2 inches overall horrible, drinks warm, no swim bar like promised,  ",0
"terrible hotel terrible hotel staying just year problems, problems months getting fixed, better staying different place, definetally not place stay long term, nights fine longer recommend staying established place,  ",0
"attitude review receptionist rude unwilling listenthe rooms modern fresh great pool facilitiesthe duvet room far hot welost 5kg overnight.would not stay great facilities.if train reception staff smile polite reconsider,  ",1
"bad bad bad hotel verry bad pls not stay, close ramblas things service customer extremeley poor, terrible cant recommend,  ",1
"great location shabby rooms hotel great location rooms extremely dated use modern decoration, communal areas nice pools good, drinks piano bar expensive got drink lobby cheaper reason,  ",1
"manz manchester husband just come 4 nights luxer forth time amsterdam double room attic light bathroom did not work 20 mins plugging noisy room clean walk hotel seedy guys asking want drugs scarey not stay,  ",1
"not great value like boutique hotels rooms uncomfortably small shelf space toiletries virtually non-existent price/value low, location fabulous staff super, trip book sister hotel street, continentale lungarno, stayed unbeatable,  ",1
"noisy nice small hotel busy section old san juan, n't stay want sleep, bar goers neighborhood party 4 a.m. ready night owl stay,  ",1
"paradise lost beautifull place, totally disapointed thejr, suite not saw pictures, staff wasexellent, needs new carpets complete makeoverat 6th floor level,  ",1
"stay taxi driver laughed said novotel century harbourview reaction harbourview laughed, glimpse water buildings, arrived pool renovated town not taxi shuttle bus good shopping, beds hard, stay,  ",1
"wasent bad 2 friends stayed 3 days lol got admite far anywere almere needed everyday kids playing football sv almere hotel ok needed somewere just sleep yes got sleep comments cant say bad deffo stay,  ",1
"pig lipstick wife 15,000 piece jewlry stolen room, staff not helpful rude need say more.i not recommend property, beautiful comes steep cost considering theft.a pig dressed lipstick pig,  ",1
"practical really cant understand people exited 5 star ratings hotel clean metropark hotel motel 6 heels clean spacious, bar horrible food sucks design terrible, looking mimimun cleanliness, looking experiance n't think,  ",1
"not good expected small old rooms not worth price charged, no hospitality staff, location okay, expected booked room based positive reviews,  ",1
"good hotel lacking customer relation jaust returned short trip florence hotel degli orafi magnificient position lovely rooms lacking staff courtesy.having opinion customer relation starts office conciergerie say realy disappointed,  ",1
"bad breakfast hi stayed hiltons hat problems breakfast, service slow quality breakfast buffet n't really 5 star, room ok compareble hotels,  ",1
"westin times square cheats customer starwood points booked room 7 nights using hotels.com spent 3200, westin refused points starwoods reservations using hotels.com not directly westin, speacilly unpleasant paid commison hotels.com not westin,  ",1
"no chairs beautiful resort not chairs beach pool not 7am reserve chair luck not till 3- pm-4pm day, problems seating people chairs resort shared resort close place beautiful come wo n't place reason,  ",1
"walls hear people door stayed 4 nights paid 1,300.00, nights neighbors partying till 3, walls paper, hear mean, complain manager just said sorry did little calm situation, n't sleep night sleep morning catch, sleep place tell horrible experience,  ",1
"no swimmer, hotel oke swimming pool oke, want swim sea not, beach terrible jatskis station motorboats, noisy noisy noisy, march water dirty plantes, sellers standing standing not late peace not relax lie beach, beaches bali kuta worst,  ",1
"overbooked, showed 10 check in- told not check 3 pm, came 4 pm told overbooked, business hotel quite ways away needed, adagio room hotel supposedly n't pay it- disconcerting incurred additional parking charges drive destination instead walking,  ",1
"no value stayed night, rooms ok weird, nickled dimed turn, 9 dollars bottle water, staff look act like models calvin klein, just strange place, not,  ",1
"good central hotel stayed berlin mark hotel overnight business trip, hotel central shops restaurants public transport, street hard rock cafe, rooms pretty basic clean really comfy beds, hotel good choice weekend break,  ",2
"great 3 star location unbeatable, corporate hotel.it bit run no way considered 4 star claim, arrival room definitely not-yet-serviced asked room, no probs aside, recommend looking located 3 star,  ",2
"not good reviews best hotel location, close circular quay rocks bridge opera house, did n't staff friendly n't dressed suit, food available hotel buffett style breakfast 32.00 bad, eat, deluxe opera view room good view sydney opera house,  ",2
"outdated great price makes look, outdated stained carpets usually stay nicer places cost proximity warf free parking bit bargain, n't expect 3 class hotel 2 class best clean comfortable,  ",2
"hotel room small not great view, parking ramp blocks away vehicle 30 extra park ramp addition regular hotel booking, san francisco not really sure, area really nice hotel employees helpful telling town,  ",2
"nice ramada phoenix north husband stayed hotel beginning april 2005. rooms ok little worn clean, staff friendly poolarea nice, thing big plus hotel breakfast bacon scramble eggs waffles yoghurt, nice breakfast nice big brekfast area,  ",2
"not impressive clean efficient stayed marriott waikiki night not greatly impressed quality room did hotel clean staff efficient, price hotel west waikiki walking road beach convenient,  ",2
"basic ok, great location stag weekend 8 lads rooms basic ok. resturant good, excellent location, couple minute walk central station doorstep.good lads weekends people ok basic, pay stay,  ",2
"not expect novotel particular novotel not novotel usual standard, ethos hotel clearly needs requirements hotel meeting needs customer definitely came second.the hotel room pleasant bathroom cramped potentially hazardous,  ",2
"good property better visited hotel month family member, experience overall nice.rooms facilities quite nice convey good charm.service improved,  ",2
"pay location location perfect walking distance, lot stairs bags problem no elevator available clean noisy woodden floors hear rooms street, breakfast included good, conclusion good compromise,  ",2
"disabled guest read reviews, mentioned elevator added fact vacuum cleaner stored elevator, think got good deal, regret did n't 2 floor rooms, loved seen hotel better days did n't happen, owner s daughters really nice, make dad proud watching,  ",2
"interesting hotel hotel really unique bar restaurant highly touted closed stay, best thing hotel door great beach starbucks.location okay needed cab old sj, rooms bit worn views great balcony,  ",2
"great hotel recently stayed hotel, position class near ramblas gothic quarter, falcilitiesare good breakfast bar, just n't room noise loud night passing people took time settle barcelona great,  ",2
"pretty good value amazing location, elevator unavailable entire time dec 25 29th, held 6 people quite slow, scary sign entrance building containing sorts hazardous materials cause cancer, rooms good ur vacation u n't plan spending lot time,  ",2
"perfectly acceptable paid roughly 30 euros night just cheapest got required good location bed private bathroom perfectly acceptable standard cleanliness.there wasnt cares,  ",2
"comfortable place good location hotel comfortable european standards clean, location great staff helpful, breakfast yummy coffee fantastic, thought price little high prices high firenze,  ",2
"good deal great location rooms comfortable clean, location excellent easy access town major busses trai n station, place great deal definitely return,  ",2
"hotel gerstekorrel stayed hotel gerstekorrel february 2006. decent accomodations, nothing fancy nothing shabby, rooms little small small beds small bathroom, stay budget trying save money,  ",2
"nice room expensive evrything went vacation aniversary week.this hotel nice stay inside room try used pool dirty try food restaurant did not like really expensive.almost price.but room really comfortable,  ",2
"order pot coffee great time copley little good time came charged 200 dollars just incidentals, lot hidden charges, mind 10 hours night stay, time order pot coffee read small print,  ",3
"nice place stay good hotel subway station walking distance, people reception friendly gave good advices, breakfast simply excellent little expensive, rooms quite small clean, balcony bigger room nice view, reccomend,  ",3
"good deal location inn close fishermans warf free parking, rooms average motel, clean nothing write home, overall good deal area filled overpriced hotels,  ",3
"excellent hotel location excellent hotel location 10 mins pimlico tube station, glad checked trip advisor site going london paying lots money hotel not matched luna simone time london using great hotel,  ",3
"great location hotel ideally located waikiki, walking distance just right street waikiki beach, rooms large kept, breakfast buffet good, plenty shopping right hotel, staff friendly, good choice start trip hawaiian islands,  ",3
"nice way close doumo clean personable service good breakfast firm beds air conditioning, really enjoyed stay, modest hotel great service,  ",3
"location superb, rooms good size appointed staff welcoming helpful, thought excellent value money recommend family friends,  ",3
"great hotel hotel surprisingly great value, triple room room actually separate sleeping room television air conditioning control, location perfect convenient, breakfast wonderful staff accomodating friendly,  ",3
"comfortable good hotel staff welcoming friendly room warm clean quiet comfortable, good central location right pantheon, negative no tea/coffee making facilities room travel kettle recommend good place stay,  ",3
"great place stay thought radisson prince kuhio great place stay, improvement going did not bother, staff great, helped tourism, helpful aspect, definately stay,  ",3
"loved place fabulous room 22nd floor, comfortable bed stayed staff completely helpful, great place stay,  ",3
"loved pitti central location nice helpful staff clean room.buffet nice amazing view, sold hotel location, close,  ",3
"lovely oasis calm stayed hotel le lavoisier weeks ago night way provence, lovely experience, fabienne feel welcome particularly helpful recommending restaurant dinner, room quiet overlooked street, definitely return trips,  ",3
"great location great location, near museum quarter convenient public transportatin city, near different ethnic restaurants.stayed junior suite, nice modern room bathroom, beautiful restaurant, good breakfast buffet cheaper options nearby.we stay,  ",3
"great hotel transit nice hotel, stayed late arrivals early departures did n't really use facilities, excellent location right inside terminal close terminal restaurants facilities, nice clean rooms great service,  ",3
"rooms clean air conditioner worked great rooms nice inside air conditioner worked great room small frig micro-wave coffe maker, definently stay,  ",3
"good sized room good location room bathroom big europe, staff helpful nice breakfast adequate free internet access nice treat, location good walking, walls bit did n't major issues, definately recommend especially price,  ",3
"enjoyed m stayed weeks m hotel relocated searched apartment, room spacious comfortable furnishings large desk nice bath, restaurants varied menus attentive staff, hotel personnel helpful offered great advice transition singapore easier,  ",3
"good better relative positive reviews valid true, stayed manafacturing room, not bad, carpets bit shoddy reviews state small, great hotel good location worth cash, blooms lex round block cafe/deli/restaurant great sandwiches.enjoy,  ",3
"great time group 5 april great timethe beach great food good overall great time, downfall opinion resort big, prefer resort walk end minutes not wait trolley,  ",3
"wonderful new years girlfriend teenagers stayed 41 new years, hotel extremely intimate room quite small delicate black white decor, staff nice serving need, really spoiled future,  ",4
"best, love hotel, stayed trips amsterdam, not convenient charming, make sure ask room 24 wonderful,  ",4
"best hotel ubud brilliant hotel, swimming pool amazing service perfect view amazing enjoy, 1 tip book restaurant mozaique good gastronomic,  ",4
"hotel aim like arrived late long drive vegas honeymoon tour ca greeted exceptionally friendly helpful staff unbelievably clean rooms excellent facilities need, absolute extra special city visit,  ",4
"loved, stayed 5 nights n't fault place, location excellent check easy staff attentive attention second none, recommend jurys boston 100 use hotel return boston future,  ",4
"europe greats westin madrid great hotels europe moment enter gates know, service good check check, best hotel grand lobby nice sit enjoy comings goings, highly reccomend,  ",4
"fantastic location, ca n't beat location, really paying, indoor pool cold n't know really heated not, bed extraordinarily comfortable, sat windowsill watched sun rise opera house great, view opera house going mind,  ",4
"happy traveller husband stayed argent nights san fran, fantastic surprise expecting relatively nice great, room huge impecable location handy alsoi recommended friends definately stay, didnt eat restaurant room service just san fran,  ",4
"wonderful hotel wonderful stay artus, rooms trendy comfortable, wonderful beds excellent staff, breakfast n't amazing sufficed, best hotel location, beautiful quaint area paris, convenient metro tons places shop eat right hotel, hotel trip,  ",4
"bali bali bali stayed hotel padma, best hotel ask better place bali best place no matter stay happy niceest people cant aaaaaaaaa+++++++++++++ natasha thatcher 3 months,  ",4
"april 2004 stay stayed mid-april 2004. exceeded expectation, moment arrived left thrilled, rooms clean appointed, rooms recently re-done re-done, complimentily breaksfast perferct solved problem eat early, great location great stay,  ",4
"love place, place quickly hotel choice san francisco, wonderful location staff exceptional, start stay dealings desk check-out having door man hail cab treated great care attention, highly recommended,  ",4
