Score,Text
1,I'm pretty sure this is just brown sugar. It is not like Sucanat. I gave it away.
1,Why are you selling this as a 4 oz. box when the picture shows it to be a 3oz. box?
1,"Buy it at your local grocery store, you will get it at least 10 days sooner, and with less stress."
1,They sell this same size can at my sam's club for $34.28.  It is crazy to charge $47!
1,This is basically a can of potatoes and cream.  If you're lucky you may get 3-5 tiny pieces of clam.
1,I prefer the no sugar added dried mango. This has no mango taste and the sugar is bad for you.
1,Kitty would not eat this.  We gave the whole pack to our animal shelter.
1,ogs would not touch this dog food.. They will only eat Ceasers.. I guess it was just a cheap food..
1,"Not what I was looking for, I don't want farmed seafood...who knows what ""by-products"" they are fed."
1,"Dense, flavorless, chalky, barely edible. Nothing about it reminds me of s Turtle."
1,I've loved these things for years... but I won't buy any more!  They're now being MADE IN MEXICO.
1,"IF YOU LIKE YOUR POPCORN SMALL AND CRUNCHY, THIS IS FOR YOU.  I DON'T."
1,3 out of my 4 cats will not touch this.  Pretty pricey for alot of gravy & grain & little meat.
1,Had hard places where ingredients weren't stirred well.  Not something I want to eat again.
1,This horchata mix tastes nothing like horchata. There are  better alternatives if you want horchata.
1,My chips arrived completely pulverized.  They were shipped with no extra packing.  Bummer
1,This is the most disgusting drink I have ever tried!  Don't buy unless you know what it is!
1,The chips are okay Not near as flavorful as the regular blue chips. Nice size bag for a family.
1,I did not care for the taste of this product and could not return it. It had a very strong taste.
1,I CAN NOT RATE A PURCHASE THAT I NEVER RECEIVED AS I FIND IT HARD TO WRITE A REVIEW FOR.
2,THis product is definitely not as good as some other gluten free cookies!  Try Pamela's!
2,Klein's Macadamia nuts lack the flavor and crunch that I like in a Macadamia nut.
2,"I thought it had a bitter orange flavor, however my husband and friend liked it."
2,"I love Popchips. However, I did not like this flavor at all. The garlic flavor was too intense."
2,my kids like all of the flavors but chocolate.  They say they just don't taste very good.
2,"For a licorice addict this will do, but it isn't any better than Twizzlers, and might be worse."
2,"Maybe I've prepared it wrong, but I haven't been happy with the taste...it is bitter."
2,"Wolfgang Puck's ""Breakfast in Bed"" is a much more flavorful and robust medium roast than this one."
2,I was disappointed in the lack of flavor in this tea. I won't purchase it again.
2,This drink is okay. I thought it would taste more fruity. It tastes more carbonated and more fizzie.
2,I did not enjoy this soup; I will try a different brand next time.
2,Do you the taste of fruit juice or fruit drink. This one tastes like the latter.
2,It's not very tasty. Chewing this beef jerky is like chewing sand paper. Thick cut is the way to go.
2,"Wolfgang Puck's ""Breakfast in Bed"" is a much more flavorful and robust medium roast than this one."
2,This plums are very salty. Too much salt makes it impossicle to eat. I didn't enjoy it at all.
2,"I use this to ""stretch"" flavored oatmeals; I found it mushy cooked in the microwave."
2,so so.there was great reviews on product only made it once will try it again
2,This burger is OK. You can do better at a local store. Omaha's steaks are good.<br />Buy the steaks.
2,Tastes funky - I only tasted it once and threw the rest away. I've had much better.
2,"I love this tea but I was shorted 1 bag, and I counted twice. I bought 100 and not 99."
3,take some of the salt out and i will give it 5 stars... it way too salty
3,Is this the price for a case of 6 9 oz. packages? These are my favorite candy. I need more!
3,"A nice little gift, but it's not going to get you the gift-giver of the year award or anything!"
3,"Did not care for their organic green tea at all, but their fruit teas are the best."
3,The taste is OK. ive only tried it once and then it went in my pantry and it has been sitting there.
3,"there is a little chemical kick but not to bad, as far a keurig goes this is the way to buy"
3,Pero is hard to find in my area. Amazon had a good price and prompt delivery. GREAT!!!
3,"Was smaller than I anticipated and does not really bounce, but my dog happily chewed on it!"
3,I love strong coffee but this is a little to much for me. Kind of has an after taiste to it also
3,The gum is tart and sweet for the initial chew but the flavor is almost gone in ten minutes.
3,I am not sure if it is my brewer or the taste of this coffee.  It is a little lackluster
3,"So far so good but as they say ""Whole Cashews"", I did find 40% of them are broken and are in pieces."
3,Pop chips are great but you really have to be a garlic lover to enjoy this one as a snack.
3,Not worth the price paid.  OK but you can make your own with less trouble and it will taste better
3,my dogs loves the taste but i am worried to the fact that its a hawhide
3,"They're ok, but not much flavor in the Sea Salt & Vinegar flavor. I might try the multigrain flavor."
3,"Good for tea (hot), but not for coffee.  Was a little unhappy, but still good for tea, and baking!!"
3,"I love the Jack Link products, but this a bit on the dry side and not much of a BBQ taste."
3,got it for Christmas for my Japanese culture loving adult son.  He liked them!
3,This mochi is just ok.  Price is very high.  It can be found in any Asian market for about $1.50.
4,We love the taste but hardly any cookies are whole.  I would have given them 5 stars otherwise.
4,I agree that this is agreat product.But I got it at King Arthur flour co.for $5.99 per pound.
4,"I never knew that the Jet Fuel flavor is so bold, but it's good in the morning."
4,Really nice tea with a sweet taste for the sweet tooth after dinner.
4,This makes a good snack for us low-carb folks.  It has a surprisingly good flavor.
4,I love Bigelow tea. It is hard to find decaf tea for k-cups. This is a very tasty tea.
4,Excellant flavor and not to chewy. I am not a fan of the multiple layers of packaging.
4,I like the Funky Monkey and would gladly buy more. I just cannot justify the cost ($38/pound).
4,Very happy with the product and shipping.  Thanks.  Always like doing business with Amazon.
4,These cannoli shells are fantastic.  Haven't found a damaged one yet and they are delicious.
4,Taste and smell are great. As far as calming me down I don't know how well that it effects me.
4,Compact storage that do what they claim to do. I wish they had a economical 8 pack version.
4,This product is nutritional & tasty. Simialar to Life but not as sweet.
4,"The products is good and gets to me in good condition, however, it takes too long to be delivered."
4,I put these into the Everlasting Treat Ball and give it to my dog when I leave.  She loves them.
4,These jerky snacks come in single serve pieces and has a lot of protein and beefy taste.
4,"I find them excellent, but I never use table salt, so I''m used to salt free food."
4,"They are tasty.  Yes, a number of the long sticks arrived broken, but this is not a problem for me."
4,"Well, I was envious when I gave this my dog.  It really does smell good and he loves it."
4,"Was not a bad snacking treat.  Has a big caramal taste, but not much of a apple flavor to it."
5,This is the only place where I can find the pineapple flavor. The product is great!
5,Save on money. buy this hot chocolate in bulk. Its sooo good and great anytime.
5,"The perfect coffee for those who want a strong, smooth coffee without a bitter after taste. Love it!"
5,"Interesting plant , blooming nicely outside. I wonder what it will be indoors in the winter"
5,Very happy with my purchase.  There's nothing like Irish Breakfast tea to get you going.
5,"Hard to beat this cocoa.  Taste great, and is non-fat.  Might even be good for you."
5,I have been buying this brand of coffee bean for 5 years and always have been satisfied with it.
5,If cooked by  directions this is excellent tasting oatmeal and it is so healthy to eat it.
5,i love this tea for dieting its the best i will always purchase this tea for me and my family
